Individual,Session,Trial,Results
Kanzi,1,1,c
Kanzi,1,2,c
Kanzi,1,3,f
Kanzi,1,4,c
Kanzi,1,5,f
Kanzi,1,6,f
Kanzi,1,7,f
Kanzi,1,8,f
Kanzi,1,9,f
Kanzi,1,10,f
Kanzi,2,1,f
Kanzi,2,2,f
Kanzi,2,3,f
Kanzi,2,4,f
Kanzi,2,5,f
Kanzi,2,6,f
Kanzi,2,7,f
Kanzi,2,8,f
Kanzi,2,9,f
Kanzi,2,10,f
Kanzi,3,1,f
Kanzi,3,2,f
Kanzi,3,3,f
Kanzi,3,4,f
Kanzi,3,5,f
Kanzi,3,6,f
Kanzi,3,7,f
Kanzi,3,8,f
Kanzi,3,9,f
Kanzi,3,10,na
Kanzi,4,1,f
Kanzi,4,2,f
Kanzi,4,3,c
Kanzi,4,4,f
Kanzi,4,5,f
Kanzi,4,6,f
Kanzi,4,7,f
Kanzi,4,8,f
Kanzi,4,9,f
Kanzi,4,10,na
Kanzi,5,1,na
Kanzi,5,2,na
Kanzi,5,3,na
Kanzi,5,4,na
Kanzi,5,5,na
Kanzi,5,6,na
Kanzi,5,7,na
Kanzi,5,8,na
Kanzi,5,9,na
Kanzi,5,10,na
Kanzi,6,1,f
Kanzi,6,2,f
Kanzi,6,3,f
Kanzi,6,4,f
Kanzi,6,5,f
Kanzi,6,6,f
Kanzi,6,7,f
Kanzi,6,8,f
Kanzi,6,9,na
Kanzi,6,10,na
Kanzi,7,1,f
Kanzi,7,2,f
Kanzi,7,3,f
Kanzi,7,4,f
Kanzi,7,5,f
Kanzi,7,6,f
Kanzi,7,7,f
Kanzi,7,8,f
Kanzi,7,9,f
Kanzi,7,10,na
Kanzi,8,1,f
Kanzi,8,2,f
Kanzi,8,3,c
Kanzi,8,4,f
Kanzi,8,5,f
Kanzi,8,6,f
Kanzi,8,7,f
Kanzi,8,8,f
Kanzi,8,9,f
Kanzi,8,10,f
Kanzi,9,1,f
Kanzi,9,2,f
Kanzi,9,3,f
Kanzi,9,4,f
Kanzi,9,5,f
Kanzi,9,6,f
Kanzi,9,7,f
Kanzi,9,8,f
Kanzi,9,9,f
Kanzi,9,10,f
Kanzi,10,1,f
Kanzi,10,2,f
Kanzi,10,3,f
Kanzi,10,4,f
Kanzi,10,5,f
Kanzi,10,6,f
Kanzi,10,7,f
Kanzi,10,8,f
Kanzi,10,9,f
Kanzi,10,10,na
Kanzi,11,1,f
Kanzi,11,2,f
Kanzi,11,3,f
Kanzi,11,4,f
Kanzi,11,5,f
Kanzi,11,6,f
Kanzi,11,7,f
Kanzi,11,8,f
Kanzi,11,9,f
Kanzi,11,10,f
Kanzi,12,1,f
Kanzi,12,2,f
Kanzi,12,3,f
Kanzi,12,4,f
Kanzi,12,5,f
Kanzi,12,6,f
Kanzi,12,7,f
Kanzi,12,8,f
Kanzi,12,9,f
Kanzi,12,10,f
Kanzi,13,1,f
Kanzi,13,2,f
Kanzi,13,3,f
Kanzi,13,4,f
Kanzi,13,5,f
Kanzi,13,6,f
Kanzi,13,7,f
Kanzi,13,8,f
Kanzi,13,9,f
Kanzi,13,10,f
Kanzi,14,1,f
Kanzi,14,2,f
Kanzi,14,3,f
Kanzi,14,4,f
Kanzi,14,5,f
Kanzi,14,6,f
Kanzi,14,7,f
Kanzi,14,8,f
Kanzi,14,9,f
Kanzi,14,10,f
Kanzi,15,1,f
Kanzi,15,2,f
Kanzi,15,3,f
Kanzi,15,4,f
Kanzi,15,5,f
Kanzi,15,6,f
Kanzi,15,7,f
Kanzi,15,8,f
Kanzi,15,9,f
Kanzi,15,10,f
Kanzi,16,1,f
Kanzi,16,2,f
Kanzi,16,3,f
Kanzi,16,4,f
Kanzi,16,5,f
Kanzi,16,6,f
Kanzi,16,7,f
Kanzi,16,8,f
Kanzi,16,9,f
Kanzi,16,10,f
Nyota,1,1,c
Nyota,1,2,f
Nyota,1,3,f
Nyota,1,4,f
Nyota,1,5,f
Nyota,1,6,f
Nyota,1,7,f
Nyota,1,8,c
Nyota,1,9,f
Nyota,1,10,na
Nyota,2,1,f
