ID,Species,Mass,Length,Width,Perimeter,Cube root mass,Edge/mass,penalty,utility,area/mass
1,Bonobo,6.6,42.3,21.7,128,1.875777455,68.23837211,0.527727911,36.01129357,139.0772727
2,Bonobo,10.4,39.1,32.1,142.4,2.182785766,65.23773529,0.478476008,31.21469116,120.6836538
3,Bonobo,34.5,69.6,50.2,239.6,3.255415036,73.60044645,0.797395606,58.68867261,101.2730435
4,Bonobo,25.5,54.6,38.8,186.8,2.943382658,63.46439511,0.67745093,42.9940135,83.07764706
5,Bonobo,9.2,46.8,28,149.6,2.095379106,71.39519505,0.589221032,42.06755051,142.4347826
6,Bonobo,4.7,40.4,33.2,147.2,1.675068684,87.87699361,0.499075556,43.85725946,285.3787234
7,Bonobo,4.9,42.5,28.9,142.8,1.698499252,84.07422012,0.53064694,44.61372762,250.6632653
8,Bonobo,14.7,56.3,35.1,182.8,2.449659817,74.62260627,0.694009126,51.78876973,134.4306122
9,Bonobo,7.8,48.1,27.8,151.8,1.983192483,76.54325101,0.60544629,46.34282732,171.4333333
10,Bonobo,5.8,48.4,28.4,153.6,1.796701779,85.48998046,0.609098629,52.07182993,236.9931034
11,Bonobo,64.7,64.4,55.2,239.2,4.014530486,59.5835555,0.76195606,45.40005118,54.94404946
12,Bonobo,6.4,49.2,20.8,140,1.856635533,75.40521415,0.618673761,46.65122744,159.9
13,Bonobo,11.9,56.8,31,175.6,2.283051214,76.91461275,0.698715416,53.74142566,147.9663866
14,Bonobo,14.1,58.8,37.5,192.6,2.415867089,79.72292883,0.716827776,57.14760974,156.3829787
15,Bonobo,6.2,45.7,30.4,152.2,1.83709055,82.84839307,0.574971902,47.63549817,224.0774194
16,Bonobo,18.9,47.9,32.7,161.2,2.663712005,60.51705278,0.602992458,36.49132638,82.87460317
17,Bonobo,6.7,39.9,25.1,130,1.885203631,68.9580679,0.491250742,33.875702,149.4761194
18,Bonobo,7.6,41.2,40.3,163,1.966095145,82.90544861,0.511345704,42.39334496,218.4684211
19,Bonobo,4.9,50,21.3,142.6,1.698499252,83.95646911,0.62801435,52.72586735,217.3469388
20,Bonobo,4.4,38.4,31.7,140.2,1.638642541,85.55862336,0.467035254,39.95889341,276.6545455
21,Bonobo,78.6,76.5,76,305,4.283586245,71.20202152,0.836411312,59.55417622,73.96946565
22,Bonobo,11.3,52.7,25.8,157,2.244017027,69.96381852,0.657882146,46.02794709,120.3238938
23,Bonobo,5.6,43.4,24.4,135.6,1.775808003,76.35960629,0.543560903,41.50609652,189.1
24,Bonobo,20.7,61,29.3,180.6,2.74572338,65.77501627,0.73549629,48.37728042,86.34299517
25,Bonobo,4,34.8,27.7,125,1.587401052,78.74506562,0.404110481,31.82170635,240.99
26,Bonobo,39.8,56.8,47.2,208,3.414242447,60.92127411,0.698715416,42.5666334,67.36080402
27,Bonobo,13.7,47.1,36.3,166.8,2.392802511,69.70905424,0.593023567,41.33911201,124.7978102
28,Bonobo,11.3,44.3,36.5,161.6,2.244017027,72.01371384,0.556119546,40.04823383,143.0929204
29,Bonobo,17.7,64,39.8,207.6,2.606100075,79.65925866,0.758985938,60.46025718,143.9096045
30,Bonobo,4.5,48.5,31.1,159.2,1.650963624,96.42853279,0.610308547,58.85115777,335.1888889
31,Bonobo,58.6,81.8,63,289.6,3.884178727,74.55887599,0.861197053,64.20988428,87.94197952
32,Bonobo,35.3,58.3,41.4,199.4,3.280385638,60.78553622,0.712404414,43.30388429,68.37450425
33,Bonobo,28.6,69.2,37.8,214,3.058125784,69.97750098,0.794867671,55.62285321,91.46013986
34,Bonobo,3.7,45.1,23.7,137.6,1.546680374,88.9647288,0.5669924,50.44232513,288.8837838
35,Bonobo,9.8,50,25.3,150.6,2.139974961,70.37465519,0.62801435,44.19629332,129.0816327
36,Bonobo,8.8,45.7,31.5,154.4,2.064560231,74.78590243,0.574971902,42.99979259,163.5852273
37,Bonobo,22.3,71.4,34.3,211.4,2.814718414,75.10520375,0.808391299,60.71439319,109.8215247
38,Bonobo,23.4,54,45.4,198.8,2.860258506,69.50420725,0.671395375,46.66480333,104.7692308
39,Bonobo,30,57.7,50.5,216.4,3.107232506,69.64396761,0.707005078,49.23863873,97.12833333
40,Bonobo,11.4,47.8,47.5,190.6,2.250617115,84.6878835,0.601759825,50.96176592,199.1666667
41,Bonobo,57.9,68.4,64.8,266.4,3.868650719,68.86121786,0.789716782,54.38085938,76.55129534
42,Bonobo,23.2,62.1,32.2,188.6,2.852086294,66.12703142,0.744363816,49.22256942,86.19051724
43,Bonobo,44.4,72.3,43.2,231,3.541014105,65.23554924,0.813663295,53.07977195,70.34594595
44,Bonobo,32.6,66.4,54.1,241,3.194521877,75.44164957,0.776266574,58.56283087,110.191411
45,Bonobo,74.4,78.1,63.9,284,4.205887435,67.52439393,0.84432737,57.01269392,67.07782258
46,Bonobo,42.8,69,51.6,241.2,3.497957993,68.9545159,0.7935919,54.72174526,83.18691589
47,Bonobo,54,81.4,48.5,259.8,3.77976315,68.73446555,0.859465181,59.07487989,73.10925926
48,Bonobo,32.5,67.6,54.3,243.8,3.191252149,76.39634494,0.784436554,59.92808557,112.944
49,Bonobo,27.9,61.7,59.4,242.2,3.032969673,79.85572759,0.741174192,59.18700439,131.3612903
50,Bonobo,32.1,64.5,43.7,216.4,3.178105751,68.09087456,0.762692853,51.93242341,87.80841121
51,Bonobo,44.8,71.3,65.3,273.2,3.551616007,76.92273023,0.80779639,62.13790379,103.9261161
52,Bonobo,69.1,92.2,47.8,280,4.103546406,68.23366237,0.899449984,61.3727665,63.77945007
53,Bonobo,16.7,58.7,35.5,188.4,2.55606655,73.70700108,0.71594858,52.77042274,124.7814371
54,Bonobo,12.5,39.4,35.4,149.6,2.320794417,64.46068593,0.483303698,31.15408786,111.5808
55,Bonobo,11.2,67,32.1,198.2,2.237377884,88.58584033,0.780389554,69.13146438,192.0267857
56,Bonobo,28.9,63.1,45.7,217.6,3.06878136,70.90762569,0.752166964,53.33437351,99.78096886
57,Bonobo,19.6,65.7,36.3,204,2.6961995,75.66205691,0.771358499,58.36257065,121.6790816
58,Bonobo,9.2,46.7,29.1,151.6,2.095379106,72.34967627,0.587945641,42.53767682,147.7141304
59,Bonobo,9.4,45.9,40,171.8,2.110454294,81.40427416,0.577598924,47.01902119,195.3191489
60,Bonobo,9.3,51.5,24.4,151.8,2.102943717,72.18452816,0.644915681,46.55293415,135.1182796
61,Bonobo,91.2,82.7,66.9,299.2,4.501234229,66.47065777,0.865016131,57.49819124,60.66480263
62,Bonobo,42,65.8,50.9,233.4,3.476026645,67.1456303,0.77206619,51.84087097,79.74333333
63,Bonobo,23.9,51.9,45,193.8,2.880487315,67.28028241,0.64929154,43.6845182,97.71966527
64,Bonobo,14.9,49.5,38.2,175.4,2.460719379,71.27996857,0.622203656,44.35065702,126.9060403
65,Bonobo,13.3,59.3,24.6,167.8,2.369284502,70.82306909,0.721183104,51.07640082,109.6827068
66,Bonobo,68.9,82.1,70.7,305.6,4.099583539,74.54415725,0.862481937,64.29298911,84.24484761
67,Bonobo,18.9,52.6,40.5,186.2,2.663712005,69.90245178,0.656819935,45.91332386,112.7142857
68,Bonobo,15.5,62.5,42.9,210.8,2.493315476,84.54606006,0.747514132,63.1993747,172.983871
69,Bonobo,19.4,60.1,38,196.2,2.686997382,73.01830709,0.728012726,53.15825678,117.7216495
70,Bonobo,7.6,40.2,25.6,131.6,1.966095145,66.93470575,0.495960177,33.1969485,135.4105263
71,Bonobo,41.4,86.7,48.5,270.4,3.459394684,78.16396355,0.880757972,68.843534,101.5688406
72,Bonobo,15.1,46.2,28.7,149.8,2.471680412,60.60654092,0.581509044,35.24325167,87.81059603
73,Bonobo,32.5,51.4,51.2,205.2,3.191252149,64.30077925,0.643813212,41.39769122,80.97476923
74,Bonobo,8.8,49.7,34.1,167.6,2.064560231,81.17951586,0.624538747,50.69975309,192.5875
75,Bonobo,15.5,61.6,28.3,179.8,2.493315476,72.11281594,0.740370587,53.39020788,112.4696774
76,Bonobo,14.2,56.9,35.6,185,2.42156491,76.39687841,0.699647952,53.45091954,142.6507042
77,Bonobo,32.4,57.4,55.9,226.6,3.187975708,71.07958805,0.704267515,50.05904484,99.03271605
78,Bonobo,6.4,39.8,36.9,153.4,1.856635533,82.62257036,0.489671172,40.45789085,229.471875
79,Bonobo,82.3,75.8,59.8,271.2,4.349773186,62.34807849,0.832822641,51.92489139,55.07703524
80,Bonobo,33.8,55.5,39.8,190.6,3.233247125,58.95002535,0.686325671,40.4589157,65.35207101
81,Bonobo,283,135.7,87.5,446.4,6.565414427,67.99266138,0.973894258,66.21766253,41.95671378
82,Bonobo,107,98.5,56.4,309.8,4.747459399,65.25595566,0.917288779,59.85855587,51.91962617
83,Bonobo,74.6,90.8,59.5,300.6,4.209652779,71.40731451,0.894990032,63.9088347,72.42091153
84,Bonobo,33.9,78.6,53.1,263.4,3.236432592,81.38590639,0.846721691,68.91121232,123.1168142
85,Bonobo,29.5,58.2,36.2,188.8,3.089873303,61.10282898,0.711511484,43.47536453,71.41830508
86,Bonobo,18.1,50.1,43.9,188,2.625585659,71.60307238,0.62916572,45.05019857,121.5132597
87,Bonobo,12.9,50,36,172,2.345290099,73.33847531,0.62801435,46.05761488,139.5348837
88,Bonobo,22.8,62.7,47.4,220.2,2.835599878,77.65552598,0.749074702,58.16978995,130.35
89,Bonobo,55.9,77.8,50.8,257.2,3.82358371,67.26673705,0.842872861,56.69730712,70.7019678
90,Bonobo,24.6,61.5,36.8,196.6,2.908339058,67.59872082,0.739564487,49.9936133,92
91,Bonobo,165,111,87.1,396.2,5.484806552,72.23591137,0.943859623,68.1805601,58.59454545
92,Bonobo,128.5,100.1,62.3,324.8,5.046237762,64.36478329,0.921291175,59.29870685,48.53097276
93,Bonobo,55.7,83.4,54.4,275.6,3.819018232,72.16514383,0.867913729,62.63311907,81.4535009
94,Bonobo,42.5,88.6,43.5,264.2,3.489766023,75.70708128,0.887578491,67.19597698,90.68470588
95,Bonobo,14.4,49.2,41.3,181,2.432880798,74.39739758,0.618673761,46.02771777,141.1083333
96,Bonobo,11.5,39.1,28.2,134.6,2.257178718,59.63196398,0.478476008,28.53246408,95.88
97,Bonobo,12.1,57.7,22.1,159.6,2.295770425,69.51914629,0.707005078,49.15038942,105.3859504
98,Bonobo,9.6,47.5,25.7,146.4,2.125317138,68.88383731,0.598038916,41.19521537,127.1614583
99,Bonobo,16.7,45.1,37.2,164.6,2.55606655,64.39581942,0.5669924,36.51194022,100.4622754
100,Bonobo,37.1,86.6,36.2,245.6,3.335221153,73.63829526,0.880387748,64.83025292,84.49919137
