ID,Species,Weight,Length,Width,Thickness,Analyst,Volume,Weight/Volume,Note
1,Bonobo,626.6,134.09,98.56,40.86,CL,540002.0989,0.001160366,
2,Bonobo,1533.8,146.13,109.88,84.77,CL,1361131.918,0.001126856,
3,Bonobo,911.6,137.73,97.23,70.64,CL,945974.7053,0.000963662,
4,Bonobo,718.3,143.51,97,49.25,CL,685583.1475,0.001047721,
5,Bonobo,950.6,153.76,90.56,67.24,CL,936283.7565,0.00101529,
6,Bonobo,772.4,116.79,91.44,69.44,CL,741569.0365,0.001041575,
7,Bonobo,1163.6,165.78,131.81,73.88,CL,1614385.998,0.000720769,
8,Bonobo,783.7,128.36,106.24,60.22,CL,821218.1166,0.000954314,
9,Bonobo,1095.6,140.41,116.28,79.91,CL,1304680.565,0.000839746,
10,Bonobo,850,138.81,91.61,71.95,CL,914943.836,0.000929019,
11,Bonobo,1278.5,153.78,127.04,72.56,CL,1417547.485,0.00090191,
12,Bonobo,992.5,157.89,106.32,68.88,CL,1156279.247,0.000858357,
13,Bonobo,884.9,141,118,49,CL,815262,0.001085418,
14,Bonobo,774.3,119.12,119.12,70.52,CL,1000648.787,0.000773798,
15,Bonobo,708.3,153.78,75.37,69.48,CL,805300.8947,0.000879547,
16,Bonobo,737,141,128,58,CL,1046784,0.000704061,
17,Bonobo,1019.5,185.4,93.51,70.87,CL,1228655.756,0.000829769,
18,Bonobo,1323.3,138,126,83,CL,1443204,0.000916918,
19,Bonobo,895.1,173.35,97.66,62.94,CL,1065533.981,0.000840048,
20,Bonobo,1145.7,153.69,136.87,75.05,CL,1578718.05,0.000725715,
21,Bonobo,1786.7,152,121,88,CL,1618496,0.001103926,
22,Bonobo,1090.1,141,134,64,CL,1209216,0.000901493,
23,Bonobo,1377.2,175.07,153.75,69.83,CL,1879614.983,0.000732703,
24,Bonobo,1239.3,150.58,127.47,93.5,CL,1794679.448,0.000690541,
25,Bonobo,1044.3,139.67,96.17,77.33,CL,1038701.501,0.00100539,
26,Bonobo,616.8,111,97,76,CL,818292,0.000753765,
27,Bonobo,1301.3,131.42,117.3,81.54,CL,1256985.252,0.001035255,
28,Bonobo,612.6,105.34,101.44,60.71,CL,648728.2156,0.000944309,
29,Bonobo,1543.7,172.59,114.67,81.88,CL,1620478.507,0.00095262,
30,Bonobo,1044.8,148.8,130.67,74.67,CL,1451860.78,0.000719628,
31,Bonobo,816,153.72,95.44,70.63,CL,1036215.329,0.000787481,
32,Bonobo,768.1,136.75,99.05,71.72,CL,971453.6755,0.000790671,
33,Bonobo,1085.4,134.51,113.31,80.06,CL,1220220.728,0.000889511,
34,Bonobo,1021,150.76,103.08,89.08,CL,1384333.558,0.000737539,
35,Bonobo,853.3,130.21,93.8,88.95,CL,1086408.437,0.000785432,
36,Bonobo,1353.9,141.5,133.77,85.3,CL,1614597.212,0.000838537,
37,Bonobo,1331.4,151.27,119.55,65.51,CL,1184704.36,0.001123825,
38,Bonobo,863.2,140.95,115.19,60.84,CL,987800.0956,0.000873861,
39,Bonobo,1256.2,133.3,116.99,103.6,CL,1615617.861,0.000777535,
40,Bonobo,680.3,163.87,104.5,57.36,CL,982256.4444,0.000692589,
41,Bonobo,1059.9,135.54,85.24,85.32,CL,985738.6135,0.001075234,
42,Bonobo,1470.8,139.16,100.65,98.79,CL,1383697.591,0.001062949,
43,Bonobo,1153,135.8,109.36,91.8,CL,1363329.878,0.000845723,
44,Bonobo,1306.6,143.92,124.64,79.37,CL,1423754.045,0.000917715,
45,Bonobo,905.9,117.19,99.57,76.88,CL,897082.6061,0.001009829,
46,Bonobo,1006.4,134.38,104.24,78.93,CL,1105633.381,0.000910247,
47,Bonobo,1595.3,180.06,108.94,79.5,CL,1559451.044,0.001022988,
48,Bonobo,926,145.03,96.15,77.24,CL,1077083.569,0.000859729,
49,Bonobo,870.9,180.53,107.33,68.37,CL,1324756.599,0.000657404,
50,Bonobo,1230.1,159.86,144.13,68.3,CL,1573674.469,0.000781674,
51,Bonobo,644.1,135.23,77.35,73.67,CL,770591.1836,0.000835852,
52,Bonobo,814.1,166.45,90.58,54.02,CL,814461.7548,0.000999556,
53,Bonobo,1137.7,143.44,126.06,73.73,CL,1333189.281,0.000853367,
54,Bonobo,1846.3,163,123.6,85.1,CL,1714492.68,0.001076878,
55,Bonobo,1254.6,164,147.3,83.6,CL,2019541.92,0.00062123,
56,Bonobo,685.3,138.8,98.2,58.4,CL,796001.344,0.000860928,
57,Bonobo,1895.8,215,144,83,CL,2569680,0.000737757,
58,Bonobo,810.3,160,94,52.9,CL,795616,0.001018456,
59,Bonobo,698.2,155.1,108.4,48.7,CL,818785.308,0.000852727,
60,Bonobo,819.2,142.1,135.9,55.3,CL,1067919.867,0.000767099,
61,Bonobo,1455,158,124.3,75.8,CL,1488666.52,0.000977385,
62,Bonobo,1984,183,134,105,CL,2574810,0.000770542,
63,Bonobo,1439.4,206,118.9,59.5,CL,1457357.3,0.000987678,
64,Bonobo,903.8,147.7,108.5,72.4,CL,1160242.58,0.000778975,
65,Bonobo,661.4,134.7,78.1,59.8,CL,629100.186,0.001051343,
66,Bonobo,2069.6,187,129,85,CL,2050455,0.001009337,
67,Bonobo,2013.3,181,133,104.4,CL,2513221.2,0.000801083,
68,Bonobo,665.5,142.8,99.1,91.4,CL,1293445.272,0.000514517,
69,Bonobo,740.5,135.1,111.7,49.7,CL,750006.299,0.000987325,
70,Bonobo,945.1,176,93.6,69,CL,1136678.4,0.000831458,
71,Bonobo,1694,178,141,79.9,CL,2005330.2,0.000844749,
72,Bonobo,1391.5,203,130,74.7,CL,1971333,0.000705868,
73,Bonobo,1317.1,199,96.9,60,CL,1156986,0.001138389,
74,Bonobo,656.6,108.3,91.7,80.8,CL,802433.688,0.000818261,
75,Bonobo,776.7,129.1,105.2,58.2,CL,790432.824,0.000982626,
76,Bonobo,1739.4,164,141,105,CL,2428020,0.000716386,
77,Bonobo,1887.1,162,141,99,CL,2261358,0.000834499,
78,Bonobo,1181.5,163,94,86.8,CL,1329949.6,0.00088838,
79,Bonobo,637,141.4,105,73,CL,1083831,0.00058773,
80,Bonobo,746.9,132.7,109.1,48.4,CL,700714.388,0.001065912,
81,Bonobo,1107,161,100,72.7,DS,1170470,0.000945774,
82,Bonobo,1521,132,114.4,104.3,DS,1575013.44,0.000965706,
83,Bonobo,2059,184,110.1,90,DS,1823256,0.001129298,
84,Bonobo,1278,142,118.1,75.9,DS,1272858.18,0.00100404,
85,Bonobo,1872,173,121.5,94.9,DS,1994750.55,0.000938463,
86,Bonobo,911,122.6,125.2,67.4,DS,1034557.648,0.00088057,
87,Bonobo,867,126,112.3,80.1,DS,1133398.98,0.000764956,
88,Bonobo,1838,190,148,80,DS,2249600,0.000817034,
89,Bonobo,1421,175,91,86,DS,1369550,0.001037567,
90,Bonobo,631,137,112.4,61.7,DS,950105.96,0.000664136,
91,Bonobo,730,138.9,108,41.7,DS,625550.04,0.001166973,
92,Bonobo,839,168,114.3,49.7,DS,954359.28,0.000879124,
93,Bonobo,766,138.6,92.9,62,DS,798308.28,0.000959529,
94,Bonobo,1472,149.7,112.8,110.8,DS,1870986.528,0.000786751,
95,Bonobo,1280,160,130,101,DS,2100800,0.000609292,
96,Bonobo,948,140.7,115.7,79,DS,1286040.21,0.000737146,
97,Bonobo,1186,188,121.7,49.5,DS,1132540.2,0.001047203,
98,Bonobo,698,160,108.2,54.5,DS,943504,0.000739795,
99,Bonobo,715,149.4,102.9,43.8,DS,673348.788,0.001061857,
100,Bonobo,1360,169,118,83,DS,1655186,0.00082166,
101,Bonobo,724.4,149.1,110.6,66.4,CL,1094966.544,0.000661573,
102,Bonobo,1699,169,158,102,CL,2723604,0.000623806,
103,Bonobo,1572.9,199,133,87.4,CL,2313215.8,0.000679963,
104,Bonobo,1003.2,139.1,85,83.6,CL,988444.6,0.001014928,
105,Bonobo,925.8,155.9,101.8,66,CL,1047460.92,0.000883852,
106,Bonobo,1093.2,161,85.8,79.4,CL,1096815.72,0.000996703,
107,Bonobo,1948.9,166,164,106.8,CL,2907523.2,0.000670296,
108,Bonobo,1245.2,174,103.8,76.8,CL,1387100.16,0.0008977,
109,Bonobo,1028.9,220,112.5,47.9,CL,1185525,0.000867886,
110,Bonobo,972.8,146.9,112.2,89.5,CL,1475155.11,0.000659456,
111,Bonobo,1141.2,154,115,87.1,CL,1542541,0.000739818,
112,Bonobo,1096.8,136.1,114.8,105.3,CL,1645236.684,0.000666652,
